pathway,NbDirectPathwayStepProcess
http://www.reactome.org/biopax/91/48887#Pathway953,16
http://www.reactome.org/biopax/91/48887#Pathway1971,11
http://www.reactome.org/biopax/91/48887#Pathway1620,8
http://www.reactome.org/biopax/91/48887#Pathway517,8
http://www.reactome.org/biopax/91/48887#Pathway868,30
http://www.reactome.org/biopax/91/48887#Pathway602,39
http://www.reactome.org/biopax/91/48887#Pathway1402,2
http://www.reactome.org/biopax/91/48887#Pathway1753,4
http://www.reactome.org/biopax/91/48887#Pathway2246,5
http://www.reactome.org/biopax/91/48887#Pathway2028,16
http://www.reactome.org/biopax/91/48887#Pathway2113,7
http://www.reactome.org/biopax/91/48887#Pathway2464,5
http://www.reactome.org/biopax/91/48887#Pathway2597,44
http://www.reactome.org/biopax/91/48887#Pathway2331,16
http://www.reactome.org/biopax/91/48887#Pathway27,3
http://www.reactome.org/biopax/91/48887#Pathway1570,2
http://www.reactome.org/biopax/91/48887#Pathway1001,22
http://www.reactome.org/biopax/91/48887#Pathway601,19
http://www.reactome.org/biopax/91/48887#Pathway1134,1
http://www.reactome.org/biopax/91/48887#Pathway1352,2
http://www.reactome.org/biopax/91/48887#Pathway1485,3
http://www.reactome.org/biopax/91/48887#Pathway952,60
http://www.reactome.org/biopax/91/48887#Pathway1049,1
http://www.reactome.org/biopax/91/48887#Pathway649,28
http://www.reactome.org/biopax/91/48887#Pathway867,48
http://www.reactome.org/biopax/91/48887#Pathway516,16
http://www.reactome.org/biopax/91/48887#Pathway1267,2
http://www.reactome.org/biopax/91/48887#Pathway2247,6
http://www.reactome.org/biopax/91/48887#Pathway2114,6
http://www.reactome.org/biopax/91/48887#Pathway2332,5
http://www.reactome.org/biopax/91/48887#Pathway2465,26
http://www.reactome.org/biopax/91/48887#Pathway2550,11
http://www.reactome.org/biopax/91/48887#Pathway2598,5
http://www.reactome.org/biopax/91/48887#Pathway1929,23
http://www.reactome.org/biopax/91/48887#Pathway5,3
http://www.reactome.org/biopax/91/48887#Pathway1351,2
http://www.reactome.org/biopax/91/48887#Pathway951,13
http://www.reactome.org/biopax/91/48887#Pathway1266,2
http://www.reactome.org/biopax/91/48887#Pathway600,74
http://www.reactome.org/biopax/91/48887#Pathway1484,8
http://www.reactome.org/biopax/91/48887#Pathway1000,1
http://www.reactome.org/biopax/91/48887#Pathway733,4
http://www.reactome.org/biopax/91/48887#Pathway999,1
http://www.reactome.org/biopax/91/48887#Pathway1399,8
http://www.reactome.org/biopax/91/48887#Pathway866,54
http://www.reactome.org/biopax/91/48887#Pathway515,6
http://www.reactome.org/biopax/91/48887#Pathway1048,1
http://www.reactome.org/biopax/91/48887#Pathway2115,4
http://www.reactome.org/biopax/91/48887#Pathway2248,6
http://www.reactome.org/biopax/91/48887#Pathway2200,10
http://www.reactome.org/biopax/91/48887#Pathway2333,7
http://www.reactome.org/biopax/91/48887#Pathway2466,3
http://www.reactome.org/biopax/91/48887#Pathway2599,12
http://www.reactome.org/biopax/91/48887#Pathway1790,4
http://www.reactome.org/biopax/91/48887#Pathway1221,2
http://www.reactome.org/biopax/91/48887#Pathway1354,2
http://www.reactome.org/biopax/91/48887#Pathway865,22
http://www.reactome.org/biopax/91/48887#Pathway1487,18
http://www.reactome.org/biopax/91/48887#Pathway1269,2
http://www.reactome.org/biopax/91/48887#Pathway998,1
http://www.reactome.org/biopax/91/48887#Pathway1003,1
http://www.reactome.org/biopax/91/48887#Pathway1136,1
http://www.reactome.org/biopax/91/48887#Pathway647,14
http://www.reactome.org/biopax/91/48887#Pathway514,18
http://www.reactome.org/biopax/91/48887#Pathway2249,12
http://www.reactome.org/biopax/91/48887#Pathway2116,10
http://www.reactome.org/biopax/91/48887#Pathway2201,8
http://www.reactome.org/biopax/91/48887#Pathway2552,5
http://www.reactome.org/biopax/91/48887#Pathway28,3
http://www.reactome.org/biopax/91/48887#Pathway2334,3
http://www.reactome.org/biopax/91/48887#Pathway2467,6
http://www.reactome.org/biopax/91/48887#Pathway513,14
http://www.reactome.org/biopax/91/48887#Pathway1571,3
http://www.reactome.org/biopax/91/48887#Pathway1002,18
http://www.reactome.org/biopax/91/48887#Pathway997,1
http://www.reactome.org/biopax/91/48887#Pathway1353,2
http://www.reactome.org/biopax/91/48887#Pathway1220,2
http://www.reactome.org/biopax/91/48887#Pathway428,5
http://www.reactome.org/biopax/91/48887#Pathway779,35
http://www.reactome.org/biopax/91/48887#Pathway3,8
http://www.reactome.org/biopax/91/48887#Pathway1268,2
http://www.reactome.org/biopax/91/48887#Pathway646,23
