pathway,pathwayID,Disease
reactome:Pathway679,R-HSA-9664422,Yes
reactome:Pathway98,R-HSA-9649913,Yes
reactome:Pathway407,R-HSA-5687613,Yes
reactome:Pathway291,R-HSA-5619083,Yes
reactome:Pathway104,R-HSA-6802946,Yes
reactome:Pathway368,R-HSA-3359475,Yes
reactome:Pathway377,R-HSA-5579026,Yes
reactome:Pathway465,R-HSA-4755609,Yes
reactome:Pathway265,R-HSA-5619076,Yes
reactome:Pathway363,R-HSA-3359474,Yes
reactome:Pathway343,R-HSA-5357609,Yes
reactome:Pathway436,R-HSA-4551295,Yes
reactome:Pathway702,R-HSA-5603029,Yes
reactome:Pathway610,R-HSA-168303,Yes
reactome:Pathway376,R-HSA-5578997,Yes
reactome:Pathway492,R-HSA-9912481,Yes
reactome:Pathway459,R-HSA-5609975,Yes
reactome:Pathway326,R-HSA-2206281,Yes
reactome:Pathway723,R-HSA-9022534,Yes
reactome:Pathway545,R-HSA-162592,Yes
reactome:Pathway18,R-HSA-1839126,Yes
reactome:Pathway547,R-HSA-164843,Yes
reactome:Pathway92,R-HSA-5340573,Yes
reactome:Pathway156,R-HSA-9702590,Yes
reactome:Pathway191,R-HSA-9632700,Yes
reactome:Pathway122,R-HSA-9669929,Yes
reactome:Pathway129,R-HSA-9673770,Yes
reactome:Pathway504,R-HSA-5250958,Yes
reactome:Pathway25,R-HSA-1839130,Yes
reactome:Pathway525,R-HSA-9636667,Yes
reactome:Pathway629,R-HSA-9683673,Yes
reactome:Pathway108,R-HSA-9652169,Yes
reactome:Pathway538,R-HSA-162587,Yes
reactome:Pathway508,R-HSA-5250955,Yes
reactome:Pathway267,R-HSA-5619062,Yes
reactome:Pathway34,R-HSA-9665233,Yes
reactome:Pathway32,R-HSA-9664565,Yes
reactome:Pathway500,R-HSA-9824439,Yes
reactome:Pathway210,R-HSA-9605308,Yes
reactome:Pathway709,R-HSA-9918454,Yes
reactome:Pathway88,R-HSA-5339700,Yes
reactome:Pathway181,R-HSA-9670615,Yes
reactome:Pathway264,R-HSA-5619035,Yes
reactome:Pathway23,R-HSA-5655332,Yes
reactome:Pathway705,R-HSA-2474795,Yes
reactome:Pathway711,R-HSA-9918436,Yes
reactome:Pathway127,R-HSA-9671555,Yes
reactome:Pathway391,R-HSA-5579005,Yes
reactome:Pathway96,R-HSA-6802957,Yes
reactome:Pathway427,R-HSA-3656234,Yes
reactome:Pathway482,R-HSA-9734735,Yes
reactome:Pathway200,R-HSA-8862803,Yes
reactome:Pathway626,R-HSA-9683701,Yes
reactome:Pathway664,R-HSA-9679191,Yes
reactome:Pathway666,R-HSA-9820960,Yes
reactome:Pathway719,R-HSA-9005895,Yes
reactome:Pathway529,R-HSA-1222538,Yes
reactome:Pathway567,R-HSA-174490,Yes
reactome:Pathway477,R-HSA-9735786,Yes
reactome:Pathway124,R-HSA-9669926,Yes
reactome:Pathway395,R-HSA-5578999,Yes
reactome:Pathway174,R-HSA-9659787,Yes
reactome:Pathway663,R-HSA-9755779,Yes
reactome:Pathway154,R-HSA-9702577,Yes
reactome:Pathway556,R-HSA-167246,Yes
reactome:Pathway182,R-HSA-9670613,Yes
reactome:Pathway87,R-HSA-5339716,Yes
reactome:Pathway454,R-HSA-5083633,Yes
reactome:Pathway435,R-HSA-4549349,Yes
reactome:Pathway276,R-HSA-5619085,Yes
reactome:Pathway198,R-HSA-9645722,Yes
reactome:Pathway263,R-HSA-5619070,Yes
reactome:Pathway61,R-HSA-3304347,Yes
reactome:Pathway592,R-HSA-168271,Yes
reactome:Pathway132,R-HSA-9674428,Yes
reactome:Pathway317,R-HSA-5660883,Yes
reactome:Pathway40,R-HSA-9665244,Yes
reactome:Pathway614,R-HSA-9609646,Yes
reactome:Pathway251,R-HSA-5679090,Yes
reactome:Pathway639,R-HSA-9694516,Yes
reactome:Pathway447,R-HSA-4793950,Yes
reactome:Pathway10,R-HSA-1226099,Yes
reactome:Pathway84,R-HSA-5358752,Yes
reactome:Pathway590,R-HSA-168288,Yes
reactome:Pathway636,R-HSA-9692916,Yes
reactome:Pathway288,R-HSA-5619037,Yes
reactome:Pathway146,R-HSA-9702620,Yes
reactome:Pathway468,R-HSA-4085023,Yes
reactome:Pathway103,R-HSA-6802948,Yes
reactome:Pathway165,R-HSA-9717323,Yes
reactome:Pathway713,R-HSA-9918440,Yes
reactome:Pathway162,R-HSA-9700645,Yes
reactome:Pathway209,R-HSA-5632987,Yes
reactome:Pathway258,R-HSA-5619042,Yes
reactome:Pathway691,R-HSA-5602358,Yes
reactome:Pathway145,R-HSA-9702605,Yes
reactome:Pathway603,R-HSA-169131,Yes
reactome:Pathway64,R-HSA-3304356,Yes
reactome:Pathway374,R-HSA-5579029,Yes
reactome:Pathway685,R-HSA-9662851,Yes
reactome:Pathway720,R-HSA-9005891,Yes
reactome:Pathway71,R-HSA-3656532,Yes
reactome:Pathway498,R-HSA-9916722,Yes
reactome:Pathway748,R-HSA-9845620,Yes
reactome:Pathway715,R-HSA-2466712,Yes
reactome:Pathway322,R-HSA-5619095,Yes
reactome:Pathway506,R-HSA-5250982,Yes
reactome:Pathway20,R-HSA-2023837,Yes
reactome:Pathway337,R-HSA-2206280,Yes
reactome:Pathway536,R-HSA-9824446,Yes
reactome:Pathway725,R-HSA-9671793,Yes
reactome:Pathway421,R-HSA-3595172,Yes
reactome:Pathway306,R-HSA-5619079,Yes
reactome:Pathway254,R-HSA-9036092,Yes
reactome:Pathway53,R-HSA-2691232,Yes
reactome:Pathway252,R-HSA-5619102,Yes
reactome:Pathway671,R-HSA-9828806,Yes
reactome:Pathway253,R-HSA-5619099,Yes
reactome:Pathway519,R-HSA-9637690,Yes
reactome:Pathway460,R-HSA-5609974,Yes
reactome:Pathway357,R-HSA-2160456,Yes
reactome:Pathway676,R-HSA-9658195,Yes
reactome:Pathway204,R-HSA-5423599,Yes
reactome:Pathway255,R-HSA-5619060,Yes
reactome:Pathway422,R-HSA-3595174,Yes
reactome:Pathway68,R-HSA-3645790,Yes
reactome:Pathway190,R-HSA-9632697,Yes
reactome:Pathway338,R-HSA-3229121,Yes
reactome:Pathway56,R-HSA-2894858,Yes
reactome:Pathway55,R-HSA-2644606,Yes
reactome:Pathway270,R-HSA-5619066,Yes
reactome:Pathway106,R-HSA-6802952,Yes
reactome:Pathway452,R-HSA-5083632,Yes
reactome:Pathway736,R-HSA-9672387,Yes
reactome:Pathway257,R-HSA-5619056,Yes
reactome:Pathway97,R-HSA-6802949,Yes
reactome:Pathway344,R-HSA-3878781,Yes
reactome:Pathway360,R-HSA-3359457,Yes
reactome:Pathway328,R-HSA-2206296,Yes
reactome:Pathway517,R-HSA-9635486,Yes
reactome:Pathway334,R-HSA-2206308,Yes
reactome:Pathway518,R-HSA-9637628,Yes
reactome:Pathway212,R-HSA-9608287,Yes
reactome:Pathway302,R-HSA-5619096,Yes
reactome:Pathway30,R-HSA-1227990,Yes
reactome:Pathway240,R-HSA-5678520,Yes
reactome:Pathway410,R-HSA-5688031,Yes
reactome:Pathway232,R-HSA-9701193,Yes
reactome:Pathway14,R-HSA-1839122,Yes
reactome:Pathway285,R-HSA-5619040,Yes
reactome:Pathway624,R-HSA-9682706,Yes
reactome:Pathway717,R-HSA-9675151,Yes
