subject,predicate,object
reactome:Pathway1896,abstraction:HasComponent,reactome:Pathway1898
reactome:Pathway1896,abstraction:HasComponent,reactome:Pathway1897
reactome:Pathway32,abstraction:HasComponent,reactome:Pathway33
reactome:Pathway32,abstraction:HasComponent,reactome:Pathway34
reactome:Pathway1177,abstraction:HasComponent,reactome:Pathway1178
reactome:Pathway327,abstraction:HasComponent,reactome:Pathway328
reactome:Pathway327,abstraction:HasComponent,reactome:Pathway331
reactome:Pathway152,abstraction:HasComponent,reactome:Pathway153
reactome:Pathway1675,abstraction:HasComponent,reactome:Pathway1677
reactome:Pathway1675,abstraction:HasComponent,reactome:Pathway1676
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2370
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2367
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2368
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2347
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2361
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2365
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2362
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2366
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2371
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2363
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2364
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2369
reactome:Pathway2359,abstraction:HasComponent,reactome:Pathway2360
reactome:Pathway2184,abstraction:HasComponent,reactome:Pathway2186
reactome:Pathway2184,abstraction:HasComponent,reactome:Pathway2185
reactome:Pathway359,abstraction:HasComponent,reactome:Pathway363
reactome:Pathway359,abstraction:HasComponent,reactome:Pathway360
reactome:Pathway682,abstraction:HasComponent,reactome:Pathway683
reactome:Pathway1486,abstraction:HasComponent,reactome:Pathway1487
reactome:Pathway2461,abstraction:HasComponent,reactome:Pathway2469
reactome:Pathway2461,abstraction:HasComponent,reactome:Pathway2465
reactome:Pathway2461,abstraction:HasComponent,reactome:Pathway2466
reactome:Pathway2461,abstraction:HasComponent,reactome:Pathway2462
reactome:Pathway636,abstraction:HasComponent,reactome:Pathway638
reactome:Pathway636,abstraction:HasComponent,reactome:Pathway640
reactome:Pathway636,abstraction:HasComponent,reactome:Pathway639
reactome:Pathway636,abstraction:HasComponent,reactome:Pathway637
reactome:Pathway461,abstraction:HasComponent,reactome:Pathway462
reactome:Pathway461,abstraction:HasComponent,reactome:Pathway463
reactome:Pathway461,abstraction:HasComponent,reactome:Pathway464
reactome:Pathway461,abstraction:HasComponent,reactome:Pathway465
reactome:Pathway461,abstraction:HasComponent,reactome:Pathway466
reactome:Pathway240,abstraction:HasComponent,reactome:Pathway243
reactome:Pathway240,abstraction:HasComponent,reactome:Pathway241
reactome:Pathway1510,abstraction:HasComponent,reactome:Pathway1511
reactome:Pathway1219,abstraction:HasComponent,reactome:Pathway1220
reactome:Pathway1044,abstraction:HasComponent,reactome:Pathway1045
reactome:Pathway1044,abstraction:HasComponent,reactome:Pathway1046
reactome:Pathway1297,abstraction:HasComponent,reactome:Pathway1299
reactome:Pathway1297,abstraction:HasComponent,reactome:Pathway1298
reactome:Pathway1542,abstraction:HasComponent,reactome:Pathway1543
reactome:Pathway1795,abstraction:HasComponent,reactome:Pathway1796
reactome:Pathway1795,abstraction:HasComponent,reactome:Pathway1800
reactome:Pathway2479,abstraction:HasComponent,reactome:Pathway2480
reactome:Pathway1076,abstraction:HasComponent,reactome:Pathway1066
reactome:Pathway1076,abstraction:HasComponent,reactome:Pathway1077
reactome:Pathway226,abstraction:HasComponent,reactome:Pathway228
reactome:Pathway226,abstraction:HasComponent,reactome:Pathway227
reactome:Pathway226,abstraction:HasComponent,reactome:Pathway163
reactome:Pathway1749,abstraction:HasComponent,reactome:Pathway1750
reactome:Pathway1749,abstraction:HasComponent,reactome:Pathway1751
reactome:Pathway2724,abstraction:HasComponent,reactome:Pathway2731
reactome:Pathway2724,abstraction:HasComponent,reactome:Pathway2725
reactome:Pathway2724,abstraction:HasComponent,reactome:Pathway2727
reactome:Pathway2724,abstraction:HasComponent,reactome:Pathway2729
reactome:Pathway2724,abstraction:HasComponent,reactome:Pathway2732
reactome:Pathway1574,abstraction:HasComponent,reactome:Pathway1576
reactome:Pathway1574,abstraction:HasComponent,reactome:Pathway1575
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2013
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2016
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2009
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2006
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2011
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2017
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2014
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2007
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2012
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2015
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2010
reactome:Pathway2005,abstraction:HasComponent,reactome:Pathway2008
reactome:Pathway1353,abstraction:HasComponent,reactome:Pathway1357
reactome:Pathway1353,abstraction:HasComponent,reactome:Pathway1354
reactome:Pathway1353,abstraction:HasComponent,reactome:Pathway1355
reactome:Pathway1353,abstraction:HasComponent,reactome:Pathway1356
reactome:Pathway1307,abstraction:HasComponent,reactome:Pathway1308
reactome:Pathway2069,abstraction:HasComponent,reactome:Pathway2071
reactome:Pathway2069,abstraction:HasComponent,reactome:Pathway2070
reactome:Pathway2069,abstraction:HasComponent,reactome:Pathway2072
reactome:Pathway360,abstraction:HasComponent,reactome:Pathway361
reactome:Pathway360,abstraction:HasComponent,reactome:Pathway362
reactome:Pathway2567,abstraction:HasComponent,reactome:Pathway2270
reactome:Pathway51,abstraction:HasComponent,reactome:Pathway52
reactome:Pathway51,abstraction:HasComponent,reactome:Pathway55
reactome:Pathway2171,abstraction:HasComponent,reactome:Pathway2174
reactome:Pathway2171,abstraction:HasComponent,reactome:Pathway2173
reactome:Pathway2171,abstraction:HasComponent,reactome:Pathway2172
reactome:Pathway2171,abstraction:HasComponent,reactome:Pathway2175
reactome:Pathway1616,abstraction:HasComponent,reactome:Pathway1617
reactome:Pathway1616,abstraction:HasComponent,reactome:Pathway1631
reactome:Pathway1616,abstraction:HasComponent,reactome:Pathway1627
reactome:Pathway1616,abstraction:HasComponent,reactome:Pathway1624
reactome:Pathway1616,abstraction:HasComponent,reactome:Pathway1621
reactome:Pathway346,abstraction:HasComponent,reactome:Pathway347
reactome:Pathway346,abstraction:HasComponent,reactome:Pathway349
reactome:Pathway346,abstraction:HasComponent,reactome:Pathway358
reactome:Pathway346,abstraction:HasComponent,reactome:Pathway348
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway606
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway600
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway609
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway612
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway613
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway608
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway611
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway607
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway610
reactome:Pathway599,abstraction:HasComponent,reactome:Pathway605
reactome:Pathway171,abstraction:HasComponent,reactome:Pathway172
reactome:Pathway1694,abstraction:HasComponent,reactome:Pathway1696
reactome:Pathway1694,abstraction:HasComponent,reactome:Pathway1695
reactome:Pathway2378,abstraction:HasComponent,reactome:Pathway2396
reactome:Pathway2378,abstraction:HasComponent,reactome:Pathway2384
reactome:Pathway2378,abstraction:HasComponent,reactome:Pathway2379
reactome:Pathway2378,abstraction:HasComponent,reactome:Pathway2382
reactome:Pathway2378,abstraction:HasComponent,reactome:Pathway2390
reactome:Pathway1220,abstraction:HasComponent,reactome:Pathway1221
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1278
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1253
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1266
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1257
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1279
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1263
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1276
reactome:Pathway1252,abstraction:HasComponent,reactome:Pathway1280
reactome:Pathway402,abstraction:HasComponent,reactome:Pathway409
reactome:Pathway402,abstraction:HasComponent,reactome:Pathway403
reactome:Pathway402,abstraction:HasComponent,reactome:Pathway404
reactome:Pathway402,abstraction:HasComponent,reactome:Pathway406
reactome:Pathway1925,abstraction:HasComponent,reactome:Pathway1926
reactome:Pathway2609,abstraction:HasComponent,reactome:Pathway2649
reactome:Pathway2609,abstraction:HasComponent,reactome:Pathway2610
reactome:Pathway1206,abstraction:HasComponent,reactome:Pathway1207
reactome:Pathway480,abstraction:HasComponent,reactome:Pathway483
reactome:Pathway480,abstraction:HasComponent,reactome:Pathway481
reactome:Pathway1459,abstraction:HasComponent,reactome:Pathway1460
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2702
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2688
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2705
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2724
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2733
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2734
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2721
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2703
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2691
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2704
reactome:Pathway2687,abstraction:HasComponent,reactome:Pathway2696
reactome:Pathway434,abstraction:HasComponent,reactome:Pathway436
reactome:Pathway434,abstraction:HasComponent,reactome:Pathway435
reactome:Pathway434,abstraction:HasComponent,reactome:Pathway437
